backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,98,2,0.5057650014823979,0.5036570036585748,0.4637504646497906,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,98,2,0.41546566587029843,0.4224057676497182,0.40253727603222056,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,99,2,0.7099128904552096,0.7330474280283457,0.5903475152338905,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,99,2,0.6138749963516137,0.5583730104204916,0.5038454922679402,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,99,2,0.6473449553993513,0.6393833408641801,0.5479170843589432,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,99,2,0.6621125425553924,0.676307617662238,0.5669063121306673,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,99,2,0.7171509512652428,0.7067334000725837,0.6657426009602998,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,99,2,0.73264720226122,0.7282144236729071,0.6855459251090182,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,99,2,0.725603451808503,0.729409746723567,0.6747966162470278,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,99,2,0.7179767702838372,0.7330785939967233,0.6410398870159671,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,105,2,0.2587297890833282,0.24627255101341883,0.20556379935790542,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,105,2,0.28814558227275217,0.301263071259547,0.29037694320012414,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,105,2,0.1021105658855847,0.17022721969982613,0.14202654730683695,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,105,2,0.24322687105106428,0.2896627551704433,0.24353188015907398,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,105,2,0.24094118441810228,0.2690378681380304,0.1996847585617376,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,105,2,0.03035988114651691,0.028302889481167715,0.018462741072162583,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,105,2,0.12447054381673463,0.1003170201002185,0.06992693577467325,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,105,2,0.2552515702940382,0.25640785968275076,0.16011227098403621,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,109,2,0.5447515931698513,0.5345304253261908,0.45276183257713193,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,109,2,0.31978401766136516,0.2665052348685613,0.26555612490515174,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,109,2,0.29062530400409964,0.31177344905639726,0.256466206882078,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,109,2,0.5476877136422843,0.5481032754016856,0.43979142765157303,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,109,2,0.4510994746525922,0.43232056063637925,0.3756112512946776,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,109,2,0.4342420933194856,0.36733303591673594,0.24067536242982474,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,109,2,0.36306648324636875,0.353209320343633,0.26822779866930885,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,109,2,0.5199970602212353,0.5207216210038639,0.4181280677148379,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,110,2,0.42559646275797935,0.41907101232735194,0.2999328241901688,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,110,2,0.3112064934149147,0.3019576112613713,0.2467252121624964,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,110,2,0.3573530309127009,0.40589006791895504,0.34831976610376003,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,110,2,0.4503655396777265,0.4310142927172961,0.3908984437176935,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,110,2,0.4771901416530544,0.4707499166184222,0.4435373150453766,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,110,2,0.5079202412339855,0.475216865187115,0.404894781324151,,2026-08-22,efficiency
